TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
Autumn Fantasy,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1990-05-16
The Old Oak Tree,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, TREE",1990-05-23
Winter Paradise,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, MOUNTAIN, RIVER, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1990-05-30
Days Gone By,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, BUSHES, CABIN, CONIFER, DECIDUOUS, PATH, STRUCTURE, TREE, TREES",1990-06-06
Change Of Seasons,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1990-06-13
Hidden Delight,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, PATH, RIVER, SUN, TREE, TREES",1990-06-20
Double Take,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, FOG, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1990-06-27
Valley View,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1990-09-05
Tranquil Dawn,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, FOG, RIVER, SUN, TREE, TREES",1990-09-12
Royal Majesty,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1990-09-19
Serenity,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FLOWERS, RIVER, TREE, TREES, WATERFALL",1990-09-26
Cabin At Trails End,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, FRAMED, OVAL_FRAME, PATH, STRUCTURE, TREE, TREES",1990-10-03
Mountain Rhapsody,"Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1990-10-10
Wilderness Cabin,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, LAKE, ROCKS, STRUCTURE, TREE, TREES",1990-10-17
By The Sea,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLIFF, CLOUDS, CUMULUS, DECIDUOUS, OCEAN, ROCKS, SUN, TREE, WAVES",1990-10-24
Indian Summer,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, TREE, TREES",1990-10-31
Blue Winter,"Midnight_Black, Prussian_Blue, Titanium_White","CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, RIVER, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1990-11-07
Desert Glow,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CACTUS, CLOUDS, FRAMED, MOUNTAIN, OVAL_FRAME, PATH",1990-11-14
Lone Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1990-11-21
Florida's Glory,"Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, FLORIDA_FRAME, OCEAN, PALM_TREES, WAVES",1990-11-28
Autumn Images,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Red, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, FLOWERS, RIVER, TREE, TREES",1991-01-01
Hint Of Springtime,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1991-01-08
Around The Bend,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, FLOWERS, RIVER, ROCKS, TREE, TREES",1991-01-15
Countryside Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, FRAMED, GRASS, HILLS, OVAL_FRAME, RIVER, TREE, TREES",1991-01-22
Russet Winter,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, DECIDUOUS, SNOW, STRUCTURE, TREE, WINTER",1991-01-29
Purple Haze,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL",1991-02-05
Dimensions,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, FRAMED, MOUNTAIN, MOUNTAINS, RECTANGLE_3D_FRAME, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1991-02-12
Deep Wilderness Home,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLIFF, DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL",1991-02-19
Haven In The Valley,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, PATH, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",1991-02-26
Wintertime Blues,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, SNOW, TREE, TREES, WINTER",1991-03-05
Pastel Seascape,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, FRAMED, OCEAN, OVAL_FRAME, SUN, WAVES",1991-03-12
Country Creek,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, RIVER, ROCKS, TREE, TREES",1991-03-19
Silent Forest,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, RIVER, TREE, TREES",1991-03-26
Frosty Winter Morn,"Cadmium_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FENCE, HILLS, SNOW, TREE, TREES, WINTER",1991-09-03
Forest Edge,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, PATH, TREE, TREES",1991-09-10
Mountain Ridge Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE",1991-09-17
Reflections Of Gold,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, FRAMED, OVAL_FRAME, RIVER, SNOW, SUN, TREE, TREES",1991-09-24
Quiet Cove,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, HILLS, LAKE, ROCKS, TREE, TREES",1991-10-01
Rivers Peace,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL",1991-10-08
At Dawn's Light,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, LAKE, PATH, TREE, TREES",1991-10-15
Valley Waterfall,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, MOUNTAIN, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, WATERFALL",1991-10-22
Toward Days End,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, RIVER, STRUCTURE, TREE, TREES",1991-10-29
Falls In The Glen,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, TREE, TREES, WATERFALL",1991-11-05
Frozen Beauty In Vignette,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CABIN, CONIFER, DECIDUOUS, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER",1991-11-12
Crimson Tide,"Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLIFF, CLOUDS, OCEAN, ROCKS, SUN, WAVES",1991-11-19
Winter Bliss,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, DECIDUOUS, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOW, SNOWY_MOUNTAIN, TREE, WINTER",1991-11-26
Gray Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1992-01-07
Wayside Pond,"Black_Gesso, Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, TREE, TREES",1992-01-14
Teton Winter,"Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Alizarin_Crimson","CABIN, DECIDUOUS, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1992-01-21
Little Home In The Meadow,"Black_Gesso, Bright_Red, Cadmium_Yellow, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, STRUCTURE, TREE, TREES",1992-01-28
A Pretty Autumn Day,"Black_Gesso, Bright_Red, Cadmium_Yellow, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1992-02-04
Mirrored Images,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, ROCKS, TREE, TREES",1992-02-11
Back-country Path,"Black_Gesso, Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, PATH, TREE, TREES",1992-02-18
Graceful Waterfall,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLIFF, DECIDUOUS, RIVER, ROCKS, TREE, TREES, WATERFALL",1992-02-25
Icy Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, FRAMED, GUEST, LAKE, OVAL_FRAME, SNOW, STEVE_ROSS, TREE, TREES, WINTER",1992-03-03
Rowboat On The Beach,"Cadmium_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","BEACH, BOAT, CLOUDS, FRAMED, GRASS, HILLS, OCEAN, OVAL_FRAME, SUN, WAVES",1992-03-10
Portrait Of Winter,"Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1992-03-17
The Footbridge,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, CONIFER, DECIDUOUS, GRASS, RIVER, ROCKS, STRUCTURE, TREE, TREES",1992-03-24
Snowbound Cabin,"Black_Gesso, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, DECIDUOUS, FENCE, SNOW, TREE, TREES, WINTER",1992-03-31
Hide A Way Cove,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1992-08-25
Enchanted Falls Oval,"Black_Gesso, Indian_Yellow, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FRAMED, OVAL_FRAME, RIVER, TREE, TREES, WATERFALL",1992-09-01
Not Quite Spring,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1992-09-08
Splashes Of Autumn,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, RIVER, TREE, TREES, WATERFALL",1992-09-15
Summer In The Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1992-09-22
Oriental Falls,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, FOG, ROCKS, TREE, TREES, WATERFALL",1992-09-29
Autumn Palette,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FENCE, LAKE, TREE, TREES",1992-10-06
Cypress Swamp,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, TREE",1992-10-13
Downstream View,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",1992-10-20
Just Before The Storm,"Cadmium_Yellow, Dark_Sienna, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, FRAMED, OCEAN, OVAL_FRAME, PALM_TREES, WAVES",1992-10-27
Fisherman's Paradise,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, LAKE, STRUCTURE, SUN, TREE, TREES",1992-11-03
Desert Hues,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CACTUS, CIRRUS, CLOUDS, MOUNTAIN, PATH",1992-11-10
The Property Line,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, FENCE, SNOW, TREE, WINTER",1992-11-17
In The Stillness Of Morning,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, FOG, GRASS, RIVER, TREE, TREES",1992-12-01
Delightful Meadow Home,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, FENCE, GRASS, PATH, STRUCTURE, TREE, TREES",1992-12-08
First Snow,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, GRASS, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1992-12-15
Lake In The Valley,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, LAKE, MOUNTAIN, PATH, SNOWY_MOUNTAIN, SUN, TREE, TREES",1992-12-22
A Trace Of Spring,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, FLOWERS, GRASS, RIVER, TREE, TREES",1992-12-29
An Arctic Winter Day,"Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1993-01-05
Snow Birch,"Black_Gesso, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Titanium_White","DECIDUOUS, LAKE, SNOW, TREE, TREES, WINTER",1993-01-12
Early Autumn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, FRAMED, GRASS, LAKE, MOUNTAIN, OVAL_FRAME, TREE, TREES",1993-01-19
Tranquil Wooded Stream,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, RIVER, ROCKS, TREE, TREES",1993-01-26
Purple Mountain Range,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson",,1993-02-02
Storm's A Comin,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, HILLS, OCEAN, ROCKS, WAVES",1993-02-09
Sunset Aglow,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, LAKE, MOUNTAIN, TREE, TREES",1993-02-16
